3,0.4025,0.4025
4,0.1979,0.6004
5,0.1103,0.7107
6,0.0704,0.7811
7,0.0488,0.8299
8,0.0351,0.865
9,0.0237,0.8887
10,0.0211,0.9098
11,0.0132,0.923
12,0.0117,0.9347
13,0.0082,0.9429
14,0.0058,0.9487
15,0.0058,0.9545
16,0.0047,0.9592
17,0.0046,0.9638
18,0.0047,0.9685
19,0.0035,0.972
20,0.0028,0.9748
21,0.0016,0.9764
22,0.0021,0.9785
23,0.0024,0.9809
24,0.0013,0.9822
25,0.0018,0.984
26,0.0014,0.9854
27,0.0014,0.9868
28,0.0005,0.9873
29,0.001,0.9883
30,0.0006,0.9889
31,0.0003,0.9892
32,0.0006,0.9898
33,0.0004,0.9902
34,0.0005,0.9907
35,0.0001,0.9908
36,0.0004,0.9912
37,0.0004,0.9916
38,0.0004,0.992
39,0.0002,0.9922
40,0.0004,0.9926
41,0.0004,0.993
42,0.0004,0.9934
43,0.0004,0.9938
44,0.0003,0.9941
45,0.0003,0.9944
46,0.0001,0.9945
47,0.0003,0.9948
48,0.0002,0.995
50,0.0001,0.9951
51,0.0002,0.9953
52,0.0004,0.9957
53,0.0003,0.996
55,0.0003,0.9963
56,0.0001,0.9964
58,0.0001,0.9965
59,0.0001,0.9966
61,0.0003,0.9969
62,0.0002,0.9971
63,0.0001,0.9972
64,0.0001,0.9973
66,0.0001,0.9974
68,0.0001,0.9975
70,0.0001,0.9976
74,0.0001,0.9977
78,0.0001,0.9978
79,0.0001,0.9979
86,0.0001,0.998
87,0.0001,0.9981
89,0.0001,0.9982
90,0.0001,0.9983
94,0.0001,0.9984
102,0.0001,0.9985
106,0.0001,0.9986
123,0.0001,0.9987
124,0.0001,0.9988
125,0.0001,0.9989
136,0.0001,0.999
164,0.0001,0.9991
169,0.0001,0.9992
173,0.0003,0.9995
174,0.0001,0.9996
196,0.0001,0.9997
205,0.0001,0.9998
218,0.0001,0.9999
227,0.0001,1.0
