NodeId,Degree,ClustCoeff
0,13,0.000000000000000
9,8,0.000000000000000
19,14,0.010989010989011
42,11,0.000000000000000
52,11,0.000000000000000
185,13,0.012820512820513
275,12,0.015151515151515
308,17,0.000000000000000
433,10,0.000000000000000
514,6,0.000000000000000
648,11,0.000000000000000
736,9,0.027777777777778
984,7,0.000000000000000
985,8,0.000000000000000
1,7,0.000000000000000
20,9,0.000000000000000
337,13,0.000000000000000
403,7,0.000000000000000
418,14,0.010989010989011
428,9,0.000000000000000
528,10,0.022222222222222
532,11,0.000000000000000
2,12,0.030303030303030
13,15,0.000000000000000
148,8,0.000000000000000
230,9,0.027777777777778
243,12,0.015151515151515
258,10,0.000000000000000
376,9,0.000000000000000
476,6,0.066666666666667
691,10,0.000000000000000
718,14,0.021978021978022
844,12,0.030303030303030
901,16,0.000000000000000
965,8,0.035714285714286
3,7,0.000000000000000
192,7,0.000000000000000
227,11,0.018181818181818
500,10,0.000000000000000
560,11,0.000000000000000
806,9,0.055555555555556
869,5,0.000000000000000
926,10,0.000000000000000
4,10,0.022222222222222
95,7,0.000000000000000
138,7,0.095238095238095
408,13,0.012820512820513
421,13,0.000000000000000
473,10,0.022222222222222
647,14,0.000000000000000
694,11,0.000000000000000
722,10,0.000000000000000
837,10,0.044444444444444
886,10,0.000000000000000
5,11,0.000000000000000
43,14,0.000000000000000
71,9,0.000000000000000
85,17,0.000000000000000
199,9,0.000000000000000
332,8,0.000000000000000
443,6,0.000000000000000
592,10,0.000000000000000
600,15,0.019047619047619
732,9,0.000000000000000
910,11,0.000000000000000
6,10,0.000000000000000
306,13,0.025641025641026
335,10,0.044444444444444
629,10,0.000000000000000
669,11,0.000000000000000
713,7,0.047619047619048
789,9,0.027777777777778
871,13,0.012820512820513
874,5,0.000000000000000
902,14,0.000000000000000
944,12,0.015151515151515
7,7,0.000000000000000
561,5,0.000000000000000
643,13,0.000000000000000
742,11,0.018181818181818
755,10,0.022222222222222
877,12,0.000000000000000
911,6,0.000000000000000
950,11,0.000000000000000
8,7,0.000000000000000
154,12,0.015151515151515
276,11,0.018181818181818
459,11,0.000000000000000
809,6,0.000000000000000
872,9,0.000000000000000
166,11,0.000000000000000
310,11,0.000000000000000
434,9,0.027777777777778
817,15,0.009523809523810
881,12,0.015151515151515
10,6,0.066666666666667
72,12,0.000000000000000
168,11,0.000000000000000
388,12,0.015151515151515
611,9,0.027777777777778
981,14,0.010989010989011
11,12,0.015151515151515
157,11,0.000000000000000
202,17,0.014705882352941
288,11,0.000000000000000
399,14,0.010989010989011
436,9,0.000000000000000
499,9,0.027777777777778
590,9,0.000000000000000
925,8,0.000000000000000
927,11,0.018181818181818
938,13,0.000000000000000
964,11,0.000000000000000
966,8,0.035714285714286
12,16,0.008333333333333
96,12,0.015151515151515
131,13,0.012820512820513
260,9,0.027777777777778
285,14,0.010989010989011
359,10,0.000000000000000
368,18,0.019607843137255
496,10,0.044444444444444
525,7,0.000000000000000
567,13,0.000000000000000
632,10,0.000000000000000
636,5,0.000000000000000
810,13,0.012820512820513
864,9,0.000000000000000
882,9,0.000000000000000
954,11,0.000000000000000
65,14,0.010989010989011
203,15,0.019047619047619
241,6,0.000000000000000
329,8,0.000000000000000
385,9,0.000000000000000
398,11,0.000000000000000
475,16,0.000000000000000
558,13,0.000000000000000
698,16,0.000000000000000
740,11,0.000000000000000
831,7,0.000000000000000
852,12,0.030303030303030
14,7,0.047619047619048
181,9,0.027777777777778
189,10,0.000000000000000
248,15,0.009523809523810
314,10,0.000000000000000
479,14,0.010989010989011
688,4,0.000000000000000
15,14,0.000000000000000
83,8,0.000000000000000
180,11,0.000000000000000
240,13,0.012820512820513
572,8,0.035714285714286
658,10,0.000000000000000
709,9,0.000000000000000
724,14,0.000000000000000
753,12,0.000000000000000
803,13,0.012820512820513
935,15,0.009523809523810
948,12,0.000000000000000
983,8,0.000000000000000
16,12,0.000000000000000
63,10,0.000000000000000
76,8,0.000000000000000
228,9,0.000000000000000
406,9,0.000000000000000
480,10,0.000000000000000
569,12,0.000000000000000
700,14,0.010989010989011
720,9,0.027777777777778
960,8,0.000000000000000
996,8,0.000000000000000
17,6,0.000000000000000
94,11,0.000000000000000
586,14,0.021978021978022
597,14,0.021978021978022
765,12,0.015151515151515
995,10,0.000000000000000
18,4,0.000000000000000
102,10,0.022222222222222
782,12,0.000000000000000
105,9,0.000000000000000
175,12,0.015151515151515
224,20,0.010526315789474
254,11,0.000000000000000
315,4,0.000000000000000
394,13,0.012820512820513
442,8,0.000000000000000
490,6,0.000000000000000
541,14,0.043956043956044
582,8,0.035714285714286
697,9,0.000000000000000
855,12,0.000000000000000
170,7,0.000000000000000
186,15,0.019047619047619
256,8,0.000000000000000
351,16,0.016666666666667
466,8,0.000000000000000
793,10,0.000000000000000
922,14,0.010989010989011
21,12,0.015151515151515
90,13,0.012820512820513
266,9,0.027777777777778
307,5,0.000000000000000
373,8,0.000000000000000
660,9,0.027777777777778
715,13,0.025641025641026
790,11,0.000000000000000
895,3,0.000000000000000
919,14,0.010989010989011
987,9,0.000000000000000
22,9,0.000000000000000
29,7,0.000000000000000
290,12,0.000000000000000
330,6,0.000000000000000
453,17,0.000000000000000
556,9,0.000000000000000
672,9,0.000000000000000
701,9,0.027777777777778
786,14,0.000000000000000
23,6,0.000000000000000
187,9,0.000000000000000
200,9,0.000000000000000
393,15,0.009523809523810
614,14,0.010989010989011
796,15,0.000000000000000
943,16,0.016666666666667
24,14,0.021978021978022
36,10,0.022222222222222
123,9,0.000000000000000
134,17,0.007352941176471
263,15,0.028571428571429
451,13,0.012820512820513
461,8,0.035714285714286
529,15,0.009523809523810
562,9,0.000000000000000
